#RIC,Date[G],Time[G],GMT Offset,Type,Description,CUSIP Code,SEDOL,Common Code,ISIN Code,Issue Classification,Exchange Identification,Currency Code,Trading Status,Directory Company Name,Industrial Classification Code,Organisation ID ORGID,Organisation Display Name,Organisation Geographical Unit,Australia Code,Austria Code,Belgium Code,France Code Sicovam,Wertpapier WM,Japan Code SICC,Netherlands Code,Rio De Janeiro Code,Sao Paulo Code,Switzerland Code VALOREN,Taiwan Code,Hong Kong Code,Malaysia Code,Singapore Code,Primary Issue Level Code PILC,Finsbury Company Code,ISO CFI Code,Primary RIC Edcoid,New MSCI Industrial Classification Code GICS,Dow Jones Stoxx Industrial Classification Code,FTSE Industrial Classification Code,PE Code,Quotron Symbol,New Belgian Code,Market Identifier Code MIC,Official Place Of Listing OPOL,Asset Categories,Primary Trading RIC,Ticker Symbol,Issue Long Name,RBSS Code,MiFID Indicator,CFI Code,Place Of Listing,Primary Reference Market Quote,Primary Execution Venue,Market Segment Name,Market MIC,Organizational Identifier of the Competent Regulatory Authority,CESR EEA Regulated,CESR Most Relevant Market,CESR Average Daily Turnover,CESR Average Daily Turnover Currency,CRA Average Daily Turnover,CRA Average Daily Turnover Currency,CESR Average Value Of Orders Executed,CESR Average Value Of Orders Executed Currency,CRA Average Value Of Orders Executed,CRA Average Value Of Orders Executed Currency,CESR Free Float,CESR Free Float Currency,CRA Free Float,CRA Free Float Currency,CESR Standard Market Size,CESR Standard Market Size Currency,New Netherlands Code,Round Lot Size,Reuters Classification Scheme
SGLJ.J,16-JUN-2018,,,Equities,SIBANYE GOLD ORD,N/P,N/P,,ZAE000173951,,JNB,ZAc,1,Sibanye Gold Ltd,,112763869,Sibanye Gold,ZAF,,,,,A1KBRZ,,,,,,,,,,120920795,,,SGLJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SGL,Sibanye Gold Ord Shs,1078,MIFID-E,ESVUFR,Y,0SG.F,FRAB,Medium Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SHGJ.J,16-JUN-2018,,,Equities,SEA HARVEST GRP ORD,N/P,N/P,,ZAE000240198,,JNB,ZAc,1,Sea Harvest Group Ltd,,108138253,Sea Harvest Grp,ZAF,,,,,A2DN8X,,,,,,,,,,144037076,,,SHGJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SHG,Sea Harvest Group Ord Shs,1544,MIFID-E,ESVUFR,Y,591.F,FRAB,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SHPJ.J,16-JUN-2018,,,Equities,SHOPRITE HLDGS ORD,N/P,N/P,,ZAE000012084,,JNB,ZAc,1,Shoprite Holdings Ltd,,43036,Shoprite Hldgs,ZAF,,853202,7698261,,853202,,,,,,,,,,257051,KRSHGP,,SHPJ.J,,,,92,,7698261,XJSE,XJSE,ORD,Y,SHP,Shoprite Holdings Ord Shs,1608,MIFID-E,ESVUFR,Y,SHPJ.F,FRAB,Top Companies,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SIPBEEJ.J,16-JUN-2018,,,Equities,SASOL INZALO ORD,N/P,N/P,,ZAE000210050,,JNB,ZAc,1,Sasol Inzalo Public Ltd (RF),,114907654,Sasol Inzalo,ZAF,,,,,,,,,,,,,,,135577403,,,SIPBEEJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SIPBEE,Sasol Inzalo Public RF Ord Shs,1050,MIFID-E,ESVUFR,Y,,,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SLMJ.J,16-JUN-2018,,,Equities,SANLAM ORD,N/P,N/P,,ZAE000070660,,JNB,ZAc,1,Sanlam Ltd,,108408,Sanlam,ZAF,,,,,A0HGK5,,,,,,,,,,5651456,SNLAM,,SLMJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SLM,Sanlam Limited Ord Shs,1662,MIFID-E,ESVUFR,Y,SLMJ.F,FRAB,Top Companies,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SNHJ.J,16-JUN-2018,,,Equities,STEINHOFF INTERNATIONAL HOLDING ORD,N/P,N/P,,NL0011375019,,JNB,ZAc,1,Steinhoff International Holdings NV,,114973943,Steinhoff Intln,ZAF,,,,,A14XB9,,,,,29210745,,,,,137386528,,,SNHJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SNH,Steinhoff International Holdings NV Ord Shs,1489,MIFID-L,ESVUFN,Y,0RDG.L,XETA,Top Companies,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SNTJ.J,16-JUN-2018,,,Equities,SANTAM ORD,N/P,N/P,,ZAE000093779,,JNB,ZAc,1,Santam Ltd,,45711,Santam,ZAF,,866873,,,A0MSAR,,,,,,,,,,255291,SANTAM,,SNTJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SNT,Santam Ord Shs,1657,MIFID-E,ESVUFR,Y,SNTJ.BE,BERB,Medium Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SNVJ.J,16-JUN-2018,,,Equities,SANTOVA ORD,N/P,N/P,,ZAE000159711,,JNB,ZAc,1,Santova Ltd,,132331,Santova,ZAF,,,,,,,,,,,,,,,5661703,MILOGI,,SNVJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SNV,Santova Ord Shs,1253,MIFID-E,ESVUFR,Y,,,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SOHJ.J,16-JUN-2018,,,Equities,S.OCEAN ORD,N/P,N/P,,ZAE000092748,,JNB,ZAc,1,South Ocean Holdings Ltd,,102845625,SOH,ZAF,,,,,A0MZN1,,,,,,,,,,103988959,SCEANH,,SOHJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SOH,South Ocean Holdings Ord Shs,1170,MIFID-E,ESVUFR,Y,SOHJ.BE,BERB,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SOLBE1J.J,16-JUN-2018,,,Equities,BEE SASOL ORD,N/P,N/P,,ZAE000151817,,JNB,ZAc,1,Sasol Ltd,,17905,Sasol,ZAF,,,,,,,,,,,,,,,113566137,SSOL,,SOLJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SOLBE1,Bee Sasol Ord Shs,1010,MIFID-E,ESVUFR,Y,,,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
