#RIC,Date[G],Time[G],GMT Offset,Type,Description,CUSIP Code,SEDOL,Common Code,ISIN Code,Issue Classification,Exchange Identification,Currency Code,Trading Status,Directory Company Name,Industrial Classification Code,Organisation ID ORGID,Organisation Display Name,Organisation Geographical Unit,Australia Code,Austria Code,Belgium Code,France Code Sicovam,Wertpapier WM,Japan Code SICC,Netherlands Code,Rio De Janeiro Code,Sao Paulo Code,Switzerland Code VALOREN,Taiwan Code,Hong Kong Code,Malaysia Code,Singapore Code,Primary Issue Level Code PILC,Finsbury Company Code,ISO CFI Code,Primary RIC Edcoid,New MSCI Industrial Classification Code GICS,Dow Jones Stoxx Industrial Classification Code,FTSE Industrial Classification Code,PE Code,Quotron Symbol,New Belgian Code,Market Identifier Code MIC,Official Place Of Listing OPOL,Asset Categories,Primary Trading RIC,Ticker Symbol,Issue Long Name,RBSS Code,MiFID Indicator,CFI Code,Place Of Listing,Primary Reference Market Quote,Primary Execution Venue,Market Segment Name,Market MIC,Organizational Identifier of the Competent Regulatory Authority,CESR EEA Regulated,CESR Most Relevant Market,CESR Average Daily Turnover,CESR Average Daily Turnover Currency,CRA Average Daily Turnover,CRA Average Daily Turnover Currency,CESR Average Value Of Orders Executed,CESR Average Value Of Orders Executed Currency,CRA Average Value Of Orders Executed,CRA Average Value Of Orders Executed Currency,CESR Free Float,CESR Free Float Currency,CRA Free Float,CRA Free Float Currency,CESR Standard Market Size,CESR Standard Market Size Currency,New Netherlands Code,Round Lot Size,Reuters Classification Scheme
1OSXB3F.SA,16-JUN-2018,,,Equities,OSX BRASIL ORD,N/P,N/P,,BROSXBACNOR8,,SAO,BRL,1,OSX Brasil SA,,105621123,OSX Brasil,BRA,,,,,A1CVC5,,,,OSXB3,,,,,,106628332,CENNCR,,OSXB3.SA,,,,5091,,,,,ORD,,1OSXB3F,Osx Brasil Ord Shs,1024,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1OUCY11F.SA,16-JUN-2018,,,Equities,FUNDO INV IMOB OURINVEST CYRELA CF,N/P,N/P,,BROUCYCTF003,,SAO,BRL,1,FI imobiliario - Ourinvesty Cyrela - FII,,116910119,FII - Ourinvesty,BRA,,,,,,,,,,,,,,,158536347,,,OUCY11.SA,,,,5091,,,,,ECL,,OUCY11F,FI imobiliario - Ourinvesty Cyrela - FII,,,cicxxx,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,1,CEF
1OUJP11F.SA,16-JUN-2018,,,Equities,OURINVEST JPP FDO INV IMOB CF,N/P,N/P,,BROUJPCTF006,,SAO,BRL,1,Ourinvest JPP Fundo de Investimento Imobiliario FII,,115556787,Ourinvest JPP,BRA,,,,,,,,,OUJP1,,,,,,145886500,,,OUJP11.SA,,,,5091,,,,,ECL,,OUJP11F,Ourinvest JPP FI Imobiliario,1678,,CMXXXS,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,1,CEF
1PABY11F.SA,16-JUN-2018,,,Equities,FDO INV IMOB PANAMBY CF,N/P,N/P,,BRPABYCTF012,,SAO,BRL,1,Fundo de Investimento Imobiliario Panamby,,94683,Fund Inv Panamb,BRA,,,,,,,,,PABY1,,,,,,2887311,FUNPAN,,PABY11.SA,,,,5091,,,,,ECL,,1PABY11F,Fundo de Investimento Imobiliario Panamby,1678,,CICIRU,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,CEF
1PACF3.SA,16-JUN-2018,,,Equities,PACIFIC RDSL PARTICIPACOES ORD,N/P,N/P,,BRPACFACNOR8,,SAO,BRL,1,Pacific RDSL Participacoes SA,,115801724,Pacific RDSL,BRA,,,,,,,,,,,,,,,146547641,,,PACF3.SA,,,,5091,,,,,ORD,,PACF3,Pacific Rdsl Participacoes Ord Shs,1652,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1PACF3F.SA,16-JUN-2018,,,Equities,PACIFIC RDSL PARTICIPACOES ORD,N/P,N/P,,BRPACFACNOR8,,SAO,BRL,1,Pacific RDSL Participacoes SA,,115801724,Pacific RDSL,BRA,,,,,,,,,,,,,,,146547641,,,PACF3.SA,,,,5091,,,,,ORD,,PACF3F,Pacific Rdsl Participacoes Ord Shs,1652,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1PARD3.SA,16-JUN-2018,,,Equities,INSTITUTO HERMES PARDINI ORD,N/P,N/P,,BRPARDACNOR1,,SAO,BRL,1,Instituto Hermes Pardini SA,,111448431,Hermes Pardini,BRA,,,,,,,,,,,,,,,143200700,,,PARD3.SA,,,,5091,,,,,ORD,,PARD3,Instituto Hermes Pardini Ord Shs,1722,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1PARD3F.SA,16-JUN-2018,,,Equities,INSTITUTO HERMES PARDINI ORD,N/P,N/P,,BRPARDACNOR1,,SAO,BRL,1,Instituto Hermes Pardini SA,,111448431,Hermes Pardini,BRA,,,,,,,,,,,,,,,143200700,,,PARD3.SA,,,,5091,,,,,ORD,,PARD3F,Instituto Hermes Pardini Ord Shs,1722,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1PATI3.SA,16-JUN-2018,,,Equities,PANATLANTICA ORD,N/P,N/P,,BRPATIACNOR6,,SAO,BRL,1,Panatlantica SA,,53669,Panatlantica,BRA,,,,,A0X98M,,,,PATI3,,,,,,658745,PANATL,,PATI4.SA,,,,5091,,,,,ORD,,PATI3,Panatlantica Ord Shs,1091,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1PATI3F.SA,16-JUN-2018,,,Equities,PANATLANTICA ORD,N/P,N/P,,BRPATIACNOR6,,SAO,BRL,1,Panatlantica SA,,53669,Panatlantica,BRA,,,,,A0X98M,,,,PATI3,,,,,,658745,PANATL,,PATI4.SA,,,,5091,,,,,ORD,,1PATI3F,Panatlantica Ord Shs,1091,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1PATI4F.SA,16-JUN-2018,,,Equities,PANATLANTICA PRF,N/P,N/P,,BRPATIACNPR3,,SAO,BRL,1,Panatlantica SA,,53669,Panatlantica,BRA,,,,,A0X98N,,,,PATI4,,,,,,658744,PANATL,,PATI4.SA,,,,5091,,,,,PRF,,1PATI4F,Panatlantica Pref Shs,1091,,EPNNPR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,PRF
1PCAR3.SA,16-JUN-2018,,,Equities,P ACUCAR CBD ORD,N/P,N/P,,BRPCARACNOR3,,SAO,BRL,1,Companhia Brasileira de Distribuicao,,85685,P. Acucar-CBD,BRA,,,,,A1C3GX,,,,PCAR3,,,,,,2312603,PDA,,PCAR4.SA,,,,5091,,,,,ORD,,PCAR3,Companhia Brasileira de Distribuicao Ord Shs,1608,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1PCAR3F.SA,16-JUN-2018,,,Equities,P ACUCAR CBD ORD,N/P,N/P,,BRPCARACNOR3,,SAO,BRL,1,Companhia Brasileira de Distribuicao,,85685,P. Acucar-CBD,BRA,,,,,A1C3GX,,,,PCAR3,,,,,,2312603,PDA,,PCAR4.SA,,,,5091,,,,,ORD,,1PCAR3F,Companhia Brasileira de Distribuicao Ord Shs,1608,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1PCAR4F.SA,16-JUN-2018,,,Equities,CIA BRASILEIRA DE DISTRIBUICAO PRF,N/P,N/P,,BRPCARACNPR0,,SAO,BRL,1,Companhia Brasileira de Distribuicao,,85685,P. Acucar-CBD,BRA,,,,,925615,,,,PCAR5,,,,,,2312604,PDA,,PCAR4.SA,,,,5091,,,,,PRF,,1PCAR4F,Companhia Brasileira de Distribuicao Pref Shs,1608,,EPNNPR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,PRF
1PDGR3.SA,16-JUN-2018,,,Equities,PDG REALTY ORD,N/P,N/P,,BRPDGRACNOR8,,SAO,BRL,1,PDG Realty SA Empreendimentos e Participacoes,,102206424,PDG Realty SA,BRA,,,,,A0MKGE,,,,PDGR3,,,,,,103746724,PDGEMP,,PDGR3.SA,,,,5091,,,,,ORD,,PDGR3,PDG Realty Ord Shs,1672,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1PDGR3F.SA,16-JUN-2018,,,Equities,PDG REALTY ORD,N/P,N/P,,BRPDGRACNOR8,,SAO,BRL,1,PDG Realty SA Empreendimentos e Participacoes,,102206424,PDG Realty SA,BRA,,,,,A0MKGE,,,,PDGR3,,,,,,103746724,PDGEMP,,PDGR3.SA,,,,5091,,,,,ORD,,1PDGR3F,PDG Realty Ord Shs,1672,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
