#RIC,Date[G],Time[G],GMT Offset,Type,Description,CUSIP Code,SEDOL,Common Code,ISIN Code,Issue Classification,Exchange Identification,Currency Code,Trading Status,Directory Company Name,Industrial Classification Code,Organisation ID ORGID,Organisation Display Name,Organisation Geographical Unit,Australia Code,Austria Code,Belgium Code,France Code Sicovam,Wertpapier WM,Japan Code SICC,Netherlands Code,Rio De Janeiro Code,Sao Paulo Code,Switzerland Code VALOREN,Taiwan Code,Hong Kong Code,Malaysia Code,Singapore Code,Primary Issue Level Code PILC,Finsbury Company Code,ISO CFI Code,Primary RIC Edcoid,New MSCI Industrial Classification Code GICS,Dow Jones Stoxx Industrial Classification Code,FTSE Industrial Classification Code,PE Code,Quotron Symbol,New Belgian Code,Market Identifier Code MIC,Official Place Of Listing OPOL,Asset Categories,Primary Trading RIC,Ticker Symbol,Issue Long Name,RBSS Code,MiFID Indicator,CFI Code,Place Of Listing,Primary Reference Market Quote,Primary Execution Venue,Market Segment Name,Market MIC,Organizational Identifier of the Competent Regulatory Authority,CESR EEA Regulated,CESR Most Relevant Market,CESR Average Daily Turnover,CESR Average Daily Turnover Currency,CRA Average Daily Turnover,CRA Average Daily Turnover Currency,CESR Average Value Of Orders Executed,CESR Average Value Of Orders Executed Currency,CRA Average Value Of Orders Executed,CRA Average Value Of Orders Executed Currency,CESR Free Float,CESR Free Float Currency,CRA Free Float,CRA Free Float Currency,CESR Standard Market Size,CESR Standard Market Size Currency,New Netherlands Code,Round Lot Size,Reuters Classification Scheme
GPRL.SI,16-JUN-2018,,,Equities,GLOBAL PALM RESOURCES ORD,N/P,N/P,,SG1CD3000003,,SES,SGD,1,Global Palm Resources Holdings Ltd,,107320796,Global Palm Res,SGP,,,,,A2ABNA,,,,,,,,,BLW,111368537,,,GPRL.SI,,,,3051,,,XSES,XSES,ORD,Y,BLW,Global Palm Resources Holdings Ord Shs,1536,MIFID-E,ESXXXX,Y,GP11.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,100,FULLPAID
GPRLbi.SI,16-JUN-2018,,,Equities,GLOBAL PALM RESOURCES ORD,N/P,N/P,,SG1CD3000003,,SES,SGD,1,Global Palm Resources Holdings Ltd,,107320796,Global Palm Res,SGP,,,,,A2ABNA,,,,,,,,,BLW-B,111368537,,,GPRL.SI,,,,4082,,,,,ORD,,BLW,Global Palm Resources Holdings Ord Shs,1536,MIFID-E,ESXXXX,,GP11.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GPRLol.SI,16-JUN-2018,,,Equities,GLOBAL PALM RESOURCES ORD,N/P,N/P,,SG1CD3000003,,SES,SGD,1,Global Palm Resources Holdings Ltd,,107320796,Global Palm Res,SGP,,,,,A2ABNA,,,,,,,,,BLW-O,111368537,,,GPRL.SI,,,,4082,,,,,ORD,,BLW,Global Palm Resources Holdings Ord Shs,1536,MIFID-E,ESXXXX,,GP11.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GREE.SI,16-JUN-2018,,,Equities,GREEN BUILD ORD,N/P,N/P,,SG1Q40922128,,SES,SGD,1,Green Build Technology Ltd,,100623306,Green Build,SGP,,,,,A0J2K4,,,,,,,,,Y06,101484513,YOUCAN,,GREE.SI,,,,3051,,,XSES,XSES,ORD,Y,Y06,Green Build Ord Shs,1556,,ESXXXX,Y,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,100,FULLPAID
GREEbi.SI,16-JUN-2018,,,Equities,GREEN BUILD ORD,N/P,N/P,,SG1Q40922128,,SES,SGD,1,Green Build Technology Ltd,,100623306,Green Build,SGP,,,,,A0J2K4,,,,,,,,,Y06-B,101484513,YOUCAN,,GREE.SI,,,,4082,,,,,ORD,,Y06,Green Build Ord Shs,1556,,ESXXXX,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GREEol.SI,16-JUN-2018,,,Equities,GREEN BUILD ORD,N/P,N/P,,SG1Q40922128,,SES,SGD,1,Green Build Technology Ltd,,100623306,Green Build,SGP,,,,,A0J2K4,,,,,,,,,Y06-O,101484513,YOUCAN,,GREE.SI,,,,4082,,,,,ORD,,Y06,Green Build Ord Shs,1556,,ESXXXX,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GRPS.SI,16-JUN-2018,,,Equities,GRP ORD,N/P,N/P,,SG1CD2000004,,SES,SGD,1,GRP Ltd,,51505,GRP,SGP,,,,,A2AABN,,,,,,,,,BLU,1474369,GRUBP,,GRPS.SI,,,,3051,,,XSES,XSES,ORD,Y,BLU,GRP Ord Shs,1364,,ESXXXX,Y,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,100,FULLPAID
GRPSbi.SI,16-JUN-2018,,,Equities,GRP ORD,N/P,N/P,,SG1CD2000004,,SES,SGD,1,GRP Ltd,,51505,GRP,SGP,,,,,A2AABN,,,,,,,,,BLU-B,1474369,GRUBP,,GRPS.SI,,,,4082,,,,,ORD,,BLU,GRP Ord Shs,1364,,ESXXXX,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GRPSol.SI,16-JUN-2018,,,Equities,GRP ORD,N/P,N/P,,SG1CD2000004,,SES,SGD,1,GRP Ltd,,51505,GRP,SGP,,,,,A2AABN,,,,,,,,,BLU-O,1474369,GRUBP,,GRPS.SI,,,,4082,,,,,ORD,,BLU,GRP Ord Shs,1364,,ESXXXX,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GSHC.SI,16-JUN-2018,,,Equities,GSH CORPORATION ORD,N/P,N/P,,SG1BG1000000,,SES,SGD,1,GSH Corporation Ltd,,100094001,GSH Corporation,SGP,,,,,A14Y31,,,,,,,,,BDX,100332400,JELCRP,,GSHC.SI,,,,3051,,,XSES,XSES,ORD,Y,BDX,Gsh Corporation Ord Shs,1668,MIFID-E,esxxfx,Y,0J61.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,100,FULLPAID
GSHCbi.SI,16-JUN-2018,,,Equities,GSH CORPORATION ORD,N/P,N/P,,SG1BG1000000,,SES,SGD,1,GSH Corporation Ltd,,100094001,GSH Corporation,SGP,,,,,A14Y31,,,,,,,,,BDX-B,100332400,JELCRP,,GSHC.SI,,,,4082,,,,,ORD,,BDX,Gsh Corporation Ord Shs,1668,MIFID-E,esxxfx,,0J61.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GSHCol.SI,16-JUN-2018,,,Equities,GSH CORPORATION ORD,N/P,N/P,,SG1BG1000000,,SES,SGD,1,GSH Corporation Ltd,,100094001,GSH Corporation,SGP,,,,,A14Y31,,,,,,,,,BDX-O,100332400,JELCRP,,GSHC.SI,,,,4082,,,,,ORD,,BDX,Gsh Corporation Ord Shs,1668,MIFID-E,esxxfx,,0J61.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GSHO.SI,16-JUN-2018,,,Equities,GS HOLDINGS ORD,N/P,N/P,,SG1CF0000001,,SES,SGD,1,GS Holdings Ltd,,114996104,GS Hldg,SGP,,,,,,,,,,,,,,43A,137864072,,,GSHO.SI,,,,3051,,,XSCA,XSCA,ORD,Y,43A,GS Holdings Ord Shs,1225,,esxxxx,Y,,,Catalist,XSCA,,N,,,,,,,,,,,,,,,,,100,ORD
GSHObi.SI,16-JUN-2018,,,Equities,GS HOLDINGS ORD,N/P,N/P,,SG1CF0000001,,SES,SGD,1,GS Holdings Ltd,,114996104,GS Hldg,SGP,,,,,,,,,,,,,,43A-B,137864072,,,GSHO.SI,,,,4082,,,,,ORD,,43A,GS Holdings Ord Shs,1225,,esxxxx,,,,Catalist,XSCA,,N,,,,,,,,,,,,,,,,,1,ORD
GSHOol.SI,16-JUN-2018,,,Equities,GS HOLDINGS ORD,N/P,N/P,,SG1CF0000001,,SES,SGD,1,GS Holdings Ltd,,114996104,GS Hldg,SGP,,,,,,,,,,,,,,43A-O,137864072,,,GSHO.SI,,,,4082,,,,,ORD,,43A,GS Holdings Ord Shs,1225,,esxxxx,,,,Catalist,XSCA,,N,,,,,,,,,,,,,,,,,1,ORD
GSHOta.SI,16-JUN-2018,,,Equities,GS HOLDINGS ORD,N/P,N/P,,SG1CF0000001,,SES,SGD,1,GS Holdings Ltd,,114996104,GS Hldg,SGP,,,,,,,,,,,,,,,137864072,,,GSHO.SI,,,,3051,,,,,ORD,,43A,GS Holdings Ord Shs,1225,,esxxxx,,,,,,,N,,,,,,,,,,,,,,,,,100,ORD
