RIC,Market,TimestampUTC,Headline,ISIN
BN4.SI,sgx,2018-07-02 00:00:00,BRIEF-Keppel Corporation Ltd Sells Interest In Orbista Pte For $30 Mln,BN4
BN4.SI,sgx,2018-07-19 00:00:00,BRIEF-Keppel Corporation Says CBD Aether Exercised Option To Buy Shares Of HK Aether,BN4
BN4.SI,sgx,2018-07-22 00:00:00,BRIEF-Keppel Corp Says Keppel Offshore & Marine Secures Contracts For About S$70 Mln,BN4
BN4.SI,sgx,2018-07-26 10:17:00,BRIEF-Keppel Corp Says Keppel Capital Signed MoU With Mindchamps For Education Real Estate Fund,BN4
BN4.SI,sgx,2018-07-19 00:00:00,"UPDATE 1-Singapore's Keppel Q2 profit up 44 pct on property, infrastructure divisions",BN4
BN4.SI,sgx,2018-07-19 00:00:00,"Singapore's Keppel Q2 profit up 44 pct on property, infrastructure divisions",BN4
BN4.SI,sgx,2018-07-19 00:00:00,"BRIEF-Keppel Corporation Posts Qtrly Revenue Of S$1,523 Mln",BN4
BN4.SI,sgx,2018-07-30 12:24:00,BRIEF-Keppel Corporation Acquires 9.6 Million Units In Keppel REIT,BN4
BN4.SI,sgx,2018-07-30 04:04:00,"Singapore's offshore industry recovering, but no return to glory days",BN4
AJBU.SI,sgx,2018-07-17 00:00:00,BRIEF-Keppel DC REIT Posts Qtrly Net Property Income Of S$38.1 Million,AJBU
K71U.SI,sgx,2018-07-16 00:00:00,BRIEF-Keppel REIT Announces H1 Distribution Per Unit Of 2.84 Cents,K71U
A7RU.SI,sgx,2018-07-17 00:00:00,BRIEF-Keppel Infrastructure Trust Posts Qtrly Loss Attributable Of S$4 Million,A7RU
K71U.SI,sgx,2018-07-30 12:24:00,BRIEF-Keppel Corporation Acquires 9.6 Million Units In Keppel REIT,K71U
C07.SI,sgx,2018-07-19 00:00:00,BRIEF-Jardine Cycle & Carriage Announces Purchase Of Shares In Truong Hai Auto Corporation,C07
UD2.SI,sgx,2018-07-30 12:43:00,BRIEF-Japfa Posts Qtrly Profit Attributable Of US$29.6 Mln,UD2
42R.SI,sgx,2018-07-09 00:00:00,BRIEF-Jumbo Group Says Signed Franchise Agreement For Jumbo Seafood Restaurant,42R
I06.SI,sgx,2018-07-27 10:52:00,BRIEF-Intraco Says Tay Boon Zhuan Appointed CFO,I06
C07.SI,sgx,2018-07-27 10:34:00,BRIEF-Jardine Cycle & Carriage Posts HY Profit Attributable  Of $174 MILLION,C07
42R.SI,sgx,2018-07-17 00:00:00,BRIEF-Jumbo Group Unit Enters Franchise Agreement With Ho Sing Food Co In Taiwan,42R
J17.SI,sgx,2018-07-10 00:00:00,BRIEF-Jackspeed Corporation Updates On Existing Loan Of S$10 Million To Prestige Cars Pte Ltd,J17
5JS.SI,sgx,2018-07-03 00:00:00,BRIEF-Indofood Agri Resources Announces Investment of New Sugar Asset in Brazil,5JS
5JS.SI,sgx,2018-07-26 13:53:00,BRIEF-Indofood Agri Resources Posts Qtrly Loss Attributable Of IDR69 Bln,5JS
5GI.SI,sgx,2018-07-26 18:17:00,Moody's Upgrades One and Affirms Three Classes of MSC 2005-IQ10,5GI
J37.SI,sgx,2018-07-25 00:00:00,Dairy Farm Intnl Jardine Matheson Hdg Jardine Strategic  - First Half of 2018 Results of PT Hero,J37
J37.SI,sgx,2018-07-26 11:07:00,Jardine Strategic Jardine Matheson Hdg  - PT Astra International Tbk Half Year Report,J37
J37.SI,sgx,2018-07-26 10:06:00,Dairy Farm Intnl Jardine Matheson Hdg Jardine Strategic  - Half-year Report,J37
J37.SI,sgx,2018-07-27 10:54:00,BRIEF-Jardine Strategic Holdings Says HY Profit Attributable $984 Mln,J37
J37.SI,sgx,2018-07-26 10:06:00,Hongkong Land Hldgs Jardine Strategic Jardine Matheson Hdg  - Half-year Report,J37
J37.SI,sgx,2018-07-26 10:06:00,Mandarin Oriental Jardine Strategic Jardine Matheson Hdg  - Half-year Report,J37
J37.SI,sgx,2018-07-27 10:41:00,Jardine Matheson Hdg Jardine Strategic  - Half-year Report,J37
J37.SI,sgx,2018-07-27 10:47:00,Jardine Strategic Jardine Matheson Hdg  - Half-year Report,J37
J36.SI,sgx,2018-07-25 00:00:00,Dairy Farm Intnl Jardine Matheson Hdg Jardine Strategic  - First Half of 2018 Results of PT Hero,J36
J36.SI,sgx,2018-07-26 11:07:00,Jardine Strategic Jardine Matheson Hdg  - PT Astra International Tbk Half Year Report,J36
J36.SI,sgx,2018-07-26 10:06:00,Dairy Farm Intnl Jardine Matheson Hdg Jardine Strategic  - Half-year Report,J36
J36.SI,sgx,2018-07-27 10:52:00,BRIEF-Jardine Matheson Holdings Posts H1 Profit Attributable Of $928 Mln,J36
J36.SI,sgx,2018-07-31 10:11:00,Jardine Matheson Hdg  - Total Voting Rights,J36
J36.SI,sgx,2018-07-26 10:06:00,Hongkong Land Hldgs Jardine Strategic Jardine Matheson Hdg  - Half-year Report,J36
J36.SI,sgx,2018-07-27 10:41:00,Jardine Matheson Hdg Jardine Strategic  - Half-year Report,J36
J36.SI,sgx,2018-07-26 10:06:00,Mandarin Oriental Jardine Strategic Jardine Matheson Hdg  - Half-year Report,J36
J36.SI,sgx,2018-07-27 10:47:00,Jardine Strategic Jardine Matheson Hdg  - Half-year Report,J36
J36.SI,sgx,2018-07-27 11:53:00,Jardine Cycle&Carrge Jardine Matheson Hdg  - Half-year Report,J36
I07.SI,sgx,2018-07-19 00:00:00,BRIEF-ISDN Holdings Subscribed For Additional Shares In Unit,I07
Q0F.SI,sgx,2018-07-13 00:00:00,BRIEF-Fortis Healthcare Approves Offer Of IHH Healthcare For Equity Infusion Of Rs 40 Bln,Q0F
Q0F.SI,sgx,2018-07-13 00:00:00,UPDATE 1-India Fortis accepts $584 mln stake deal from Malaysia's IHH Healthcare,Q0F
5I4.SI,sgx,2018-07-16 00:00:00,BRIEF-ICP Says Unit Entered Letter Of Intent For Proposed Disposal Of MHI MY 1 Pte Ltd,5I4
600.SI,sgx,2018-07-10 00:00:00,BRIEF-Hyflux Receives Letter Of Intent For Second Contract For Seawater Reverse Osmosis Desalination Package In Iran,600
5TN.SI,sgx,2018-07-24 00:00:00,BRIEF-IEV Holdings Says Co Via Unit Signed Memorandum Of Agreement With Ext Co. Ltd Of Korea,5TN
600.SI,sgx,2018-07-06 00:00:00,BRIEF-Hyflux Ltd Updates On Reorganisation Process,600
